,Date,Price (Dollars per Million Btu)
0,2020-03-30,1.65
1,2020-03-27,1.7
2,2020-03-26,1.73
3,2020-03-25,1.8
4,2020-03-23,1.7
5,2020-03-20,1.76
6,2020-03-19,1.68
7,2020-03-18,1.73
8,2020-03-17,1.89
9,2020-03-16,1.89
10,2020-03-13,1.94
11,2020-03-12,1.82
12,2020-03-11,1.96
13,2020-03-10,1.91
14,2020-03-09,1.74
15,2020-03-06,1.76
16,2020-03-05,1.89
17,2020-03-04,1.83
18,2020-03-03,1.78
19,2020-03-02,1.75
20,2020-02-28,1.79
21,2020-02-27,1.78
22,2020-02-26,1.96
23,2020-02-25,1.93
24,2020-02-24,1.94
25,2020-02-21,1.96
26,2020-02-20,1.98
27,2020-02-19,2.01
28,2020-02-18,2.04
29,2020-02-17,1.93
30,2020-02-14,1.93
31,2020-02-13,1.95
32,2020-02-12,1.91
33,2020-02-11,1.85
34,2020-02-10,1.85
35,2020-02-07,1.93
36,2020-02-06,1.86
37,2020-02-05,1.89
38,2020-02-04,1.89
39,2020-02-03,1.9
40,2020-01-31,1.91
41,2020-01-30,1.94
42,2020-01-29,1.93
43,2020-01-28,1.96
44,2020-01-27,2.03
45,2020-01-24,1.91
46,2020-01-23,1.95
47,2020-01-22,1.89
48,2020-01-21,1.98
49,2020-01-17,2.07
50,2020-01-16,2.06
51,2020-01-15,2.01
52,2020-01-14,2.15
53,2020-01-13,2.03
54,2020-01-10,2.05
55,2020-01-09,2.09
56,2020-01-08,2.09
57,2020-01-07,2.17
58,2020-01-06,2.1
59,2020-01-03,2.06
60,2020-01-02,2.05
61,2020-01-01,2.09
62,2019-12-31,2.09
63,2019-12-30,2.06
64,2019-12-27,1.75
65,2019-12-26,2.09
66,2019-12-25,2.11
67,2019-12-24,2.11
68,2019-12-23,2.17
69,2019-12-20,2.27
70,2019-12-19,2.21
71,2019-12-18,2.26
72,2019-12-17,2.3
73,2019-12-16,2.34
74,2019-12-13,2.28
75,2019-12-12,2.28
76,2019-12-11,2.28
77,2019-12-10,2.18
78,2019-12-09,2.17
79,2019-12-06,2.31
80,2019-12-05,2.42
81,2019-12-04,2.43
82,2019-12-03,2.42
83,2019-12-02,2.29
84,2019-11-29,2.46
85,2019-11-27,2.46
86,2019-11-26,2.51
87,2019-11-25,2.51
88,2019-11-22,2.62
89,2019-11-21,2.53
90,2019-11-20,2.56
91,2019-11-19,2.53
92,2019-11-18,2.64
93,2019-11-15,2.7
94,2019-11-14,2.68
95,2019-11-13,2.66
96,2019-11-12,2.72
97,2019-11-11,2.87
98,2019-11-08,2.87
99,2019-11-07,2.84
100,2019-11-06,2.82
101,2019-11-05,2.77
102,2019-11-04,2.77
103,2019-11-01,2.54
104,2019-10-31,2.73
105,2019-10-30,2.71
106,2019-10-29,2.61
107,2019-10-28,2.49
108,2019-10-25,2.26
109,2019-10-24,2.33
110,2019-10-23,2.34
111,2019-10-22,2.21
112,2019-10-21,2.13
113,2019-10-18,2.08
114,2019-10-17,2.29
115,2019-10-16,2.44
116,2019-10-15,2.29
117,2019-10-14,2.13
118,2019-10-11,2.13
119,2019-10-10,2.26
120,2019-10-09,2.26
121,2019-10-08,2.29
122,2019-10-07,2.36
123,2019-10-04,2.25
124,2019-10-03,2.31
125,2019-10-02,2.36
