,Date,Price (Dollars per Million Btu)
0,2020-01-01,2.02
1,2019-12-01,2.22
2,2019-11-01,2.65
3,2019-10-01,2.33
4,2019-09-01,2.56
5,2019-08-01,2.22
6,2019-07-01,2.37
7,2019-06-01,2.4
8,2019-05-01,2.64
9,2019-04-01,2.65
10,2019-03-01,2.95
11,2019-02-01,2.69
12,2019-01-01,3.11
13,2018-12-01,4.04
14,2018-11-01,4.09
15,2018-10-01,3.28
16,2018-09-01,3.0
17,2018-08-01,2.96
18,2018-07-01,2.83
19,2018-06-01,2.97
20,2018-05-01,2.8
21,2018-04-01,2.8
22,2018-03-01,2.69
23,2018-02-01,2.67
24,2018-01-01,3.87
25,2017-12-01,2.82
26,2017-11-01,3.01
27,2017-10-01,2.88
28,2017-09-01,2.98
29,2017-08-01,2.9
30,2017-07-01,2.98
31,2017-06-01,2.98
32,2017-05-01,3.15
33,2017-04-01,3.1
34,2017-03-01,2.88
35,2017-02-01,2.85
36,2017-01-01,3.3
37,2016-12-01,3.59
38,2016-11-01,2.55
39,2016-10-01,2.98
40,2016-09-01,2.99
41,2016-08-01,2.82
42,2016-07-01,2.82
43,2016-06-01,2.59
44,2016-05-01,1.92
45,2016-04-01,1.92
46,2016-03-01,1.73
47,2016-02-01,1.99
48,2016-01-01,2.28
49,2015-12-01,1.93
50,2015-11-01,2.09
51,2015-10-01,2.34
52,2015-09-01,2.66
53,2015-08-01,2.77
54,2015-07-01,2.84
55,2015-06-01,2.78
56,2015-05-01,2.85
57,2015-04-01,2.61
58,2015-03-01,2.83
59,2015-02-01,2.87
60,2015-01-01,2.99
61,2014-12-01,3.48
62,2014-11-01,4.12
63,2014-10-01,3.78
64,2014-09-01,3.92
65,2014-08-01,3.91
66,2014-07-01,4.05
67,2014-06-01,4.59
68,2014-05-01,4.58
69,2014-04-01,4.66
70,2014-03-01,4.9
71,2014-02-01,6.0
72,2014-01-01,4.71
73,2013-12-01,4.24
74,2013-11-01,3.64
75,2013-10-01,3.68
76,2013-09-01,3.62
